Process Name	Seconds(ms)	CPU(%)	Memory(MB)
GeneticCars	1000	0	292.51
GeneticCars	2000	0.2531986	292.64
GeneticCars	3000	0.7583249	294.26
GeneticCars	4000	2.656715	295.35
GeneticCars	5000	4.676334	295.86
GeneticCars	6000	0.6319374	296.01
GeneticCars	7000	0	296.01
GeneticCars	8000	0.3787945	296.25
GeneticCars	9000	0.2527749	296.23
GeneticCars	10000	0.6322671	296.23
GeneticCars	11000	2.652596	296.16
GeneticCars	12000	2.148855	296.26
GeneticCars	13000	0.2524448	296.26
GeneticCars	14000	2.396703	296.12
GeneticCars	15000	1.515177	296.09
GeneticCars	16000	1.388562	296.09
GeneticCars	17000	0.5049514	296.09
GeneticCars	18000	0.2530206	296.01
GeneticCars	19000	2.274973	295.71
GeneticCars	20000	0.8855714	295.71
GeneticCars	21000	0.6318427	295.71
GeneticCars	22000	3.036246	295.71
GeneticCars	23000	0.6319371	295.71
GeneticCars	24000	0.7583248	295.71
GeneticCars	25000	1.009543	295.71
GeneticCars	26000	0.3787504	295.71
GeneticCars	27000	1.388977	295.71
GeneticCars	28000	0.5056614	295.71
GeneticCars	29000	0.8838542	295.71
GeneticCars	30000	0.632796	295.71
GeneticCars	31000	2.147169	295.71
GeneticCars	32000	2.020235	295.71
GeneticCars	33000	0.8829989	295.71
GeneticCars	34000	2.399031	295.78
GeneticCars	35000	0.7564673	295.78
GeneticCars	36000	1.01052	295.78
GeneticCars	37000	1.137446	295.78
GeneticCars	38000	0.5055494	295.78
GeneticCars	39000	0.631068	295.78
GeneticCars	40000	1.135795	295.73
GeneticCars	41000	1.008582	295.73
GeneticCars	42000	1.010694	295.76
GeneticCars	43000	1.890485	295.85
GeneticCars	44000	0.3791983	295.85
GeneticCars	45000	0.2524579	295.92
GeneticCars	46000	0	295.98
GeneticCars	47000	0.5050875	296.04
GeneticCars	48000	0.7588212	296.05
GeneticCars	49000	0.8847127	296.05
GeneticCars	50000	0.8823133	296.05
GeneticCars	51000	0.3793364	296.05
GeneticCars	52000	1.012425	296.06
GeneticCars	53000	3.153645	296.03
GeneticCars	54000	0.75924	296.03
GeneticCars	55000	3.538112	296.13
GeneticCars	56000	2.274268	296.13
GeneticCars	57000	1.512675	296.13
GeneticCars	58000	1.771207	296.13
GeneticCars	59000	1.137223	296.03
GeneticCars	60000	0.7567213	296.03
GeneticCars	61000	1.517096	296.02
GeneticCars	62000	2.023704	296.02
GeneticCars	63000	1.643698	296.02
GeneticCars	64000	1.392284	296.02
GeneticCars	65000	0.5052406	296.02
GeneticCars	66000	0.6320452	296.02
GeneticCars	67000	3.012643	296.02
GeneticCars	68000	1.011545	296.02
GeneticCars	69000	1.517379	296.02
GeneticCars	70000	0.2525285	296.02
GeneticCars	71000	1.389544	296.02
GeneticCars	72000	1.262158	296.02
GeneticCars	73000	1.637017	296.02
GeneticCars	74000	1.260431	296.02
GeneticCars	75000	2.652112	296.02
GeneticCars	76000	0.632221	296.02
GeneticCars	77000	1.259518	296.02
GeneticCars	78000	1.136937	296.02
GeneticCars	79000	0.1263867	296.02
GeneticCars	80000	0.1265103	296.02
GeneticCars	81000	0.631493	296.02
GeneticCars	82000	0.5061334	296.02
GeneticCars	83000	0.8824458	296.02
GeneticCars	84000	1.768536	296.02
GeneticCars	85000	1.387567	296.02
GeneticCars	86000	1.009502	296.02
GeneticCars	87000	1.011129	296.02
GeneticCars	88000	1.896695	296.02
GeneticCars	89000	2.267029	296.02
GeneticCars	90000	1.638944	296.02
GeneticCars	91000	1.009139	296.02
GeneticCars	92000	0.2525297	296.02
GeneticCars	93000	0.884383	296.02
GeneticCars	94000	1.01119	296.02
GeneticCars	95000	2.400794	296.02
GeneticCars	96000	0.6325762	296.02
GeneticCars	97000	2.021941	296.02
GeneticCars	98000	0.5047483	296.02
GeneticCars	99000	0.6314209	296.02
GeneticCars	100000	0.2524026	296.02
GeneticCars	101000	0.5045705	296.02
GeneticCars	102000	0.5031899	296.02
GeneticCars	103000	0.8830173	296.02
GeneticCars	104000	1.01042	296.02
GeneticCars	105000	1.009348	296.02
GeneticCars	106000	1.768253	296.02
GeneticCars	107000	1.515046	296.02
GeneticCars	108000	1.769887	296.02
GeneticCars	109000	0.504997	296.02
GeneticCars	110000	2.14712	296.02
GeneticCars	111000	2.146495	296.02
GeneticCars	112000	2.276066	296.02
GeneticCars	113000	0.2526597	296.02
GeneticCars	114000	3.401847	296.02
GeneticCars	115000	0.8812889	296.02
GeneticCars	116000	0.6309856	296.02
GeneticCars	117000	0.7549601	296.02
GeneticCars	118000	1.137143	296.02
GeneticCars	119000	0.7577444	296.02
GeneticCars	120000	0.8843834	296.02
GeneticCars	121000	1.886085	296.02
GeneticCars	122000	1.135048	296.02
GeneticCars	123000	0.7555585	296.02
GeneticCars	124000	0.8792223	296.02
GeneticCars	125000	1.135186	296.02
GeneticCars	126000	2.390067	296.02
GeneticCars	127000	2.388201	296.02
GeneticCars	128000	1.132922	296.02
GeneticCars	129000	0.2523573	296.02
GeneticCars	130000	0.6314985	296.02
GeneticCars	131000	0.8839102	296.02
GeneticCars	132000	1.264278	296.02
GeneticCars	133000	2.525022	296.02
GeneticCars	134000	1.388757	296.02
GeneticCars	135000	0.6313583	296.02
GeneticCars	136000	1.516024	296.02
GeneticCars	137000	1.89436	296.02
GeneticCars	138000	1.263666	296.02
GeneticCars	139000	0.7576926	296.02
GeneticCars	140000	2.268588	296.02
GeneticCars	141000	0.5017969	296.02
GeneticCars	142000	1.261629	296.02
GeneticCars	143000	1.639751	296.02
GeneticCars	144000	0.6314923	296.02
GeneticCars	145000	0.2521714	296.02
GeneticCars	146000	1.011077	296.02
GeneticCars	147000	0.8824421	296.02
GeneticCars	148000	1.010576	296.02
GeneticCars	149000	0.631324	296.02
GeneticCars	150000	1.516649	296.02
GeneticCars	151000	2.651556	296.02
GeneticCars	152000	2.021956	296.02
GeneticCars	153000	0.5042713	296.02
GeneticCars	154000	0.6307126	296.02
GeneticCars	155000	0	296.02
GeneticCars	156000	1.770013	296.02
GeneticCars	157000	0.88427	296.02
GeneticCars	158000	1.010802	296.02
GeneticCars	159000	2.524905	296.02
